17,Michael Jordan,Standard,USA,0,4,2,3,0
1,Spongebob Squarepants,Rookie,Bahamas,5,3,4,2,4
2,Gustavo Fring,Advanced,Colombia,4,3,3,0,0
3,Mike Zuckerberg,Rookie,USA,3,4,4,2,1
4,Hulk Holgan,Advanced,Canada,5,5,4,3,4
5,Spider Man,Standard,USA,4,2,1,3,2
6,Iron Man,Rookie,USA,3,2,2,1,1
7,Hulk Smash,Advanced,Planet Hulk,5,5,3,1,4
8,Dr Strange,Rookie,UK,2,5,3,1,2
9,Stan Lee,Standard,USA,5,0,2,3,2
10,Black Widow,Rookie,Russia,2,5,3,1,2
11,Patrick Starfish,Rookie,Barbados,5,4,3,1,3
12,Squidward MacFish,Standard,Belize,3,0,2,2,1
13,Krusty Krab,Rookie,Jamaica,3,1,2,2,0
14,James Bond,Standard,UK,2,2,3,2,4
15,Jason Bourne,Rookie,Germany,0,0,2,1,1
16,Walter White,Advanced,Mexico,5,5,4,1,3
